edgenum,pointnum1,pointnum2,x_difference,y_difference
246,191,509,17.92757936507934,0.08101851851853326
247,541,509,0.0,47.416666666666686
248,509,192,15.73214285714289,0.09953703703706651
249,192,3402,12.584095528455293,14.460337624209558
250,192,114,18.023148148148152,0.018518518518533256
251,114,3407,11.855719286359545,19.86667231255649
252,3407,3407A,10.774390243902474,8.1869918699187
253,114,193,5.560185185185162,0.00925925925929505
254,193,3402,10.999237804878021,14.469596883468796
255,193,194,23.523148148148152,0.0
256,194,3414,1.6391994128274519,15.2881944444444
257,194,549,15.733796296296305,0.40768970189702713
258,542,549,0.32702020202020776,47.734078590785884
259,549,195,15.166666666666629,0.40768970189702713
260,195,3420,0.15641937669380468,18.89845867208669
261,3420,3420A,5.6402439024390105,17.158536585365823
262,195,3421,0.3962567750677408,11.014142953929593
263,195,569,11.295138888888914,1.0555558888889323
264,569,3423,4.257621951219505,8.403709016260166
265,569,196,10.049107142857167,1.0555558888889323
266,196,3426,1.1292465156794265,24.556995257452513
267,196,197,16.07936507936506,0.0
268,197,3425,1.3811822493224781,10.938939701897084
269,197,198,5.351851851851848,0.0
270,198,3432,0.7772978771454291,21.556995257452513
271,3432,3432A,0.0,17.740853658536594
272,198,548,14.068783068783091,0.40768970189702713
273,548,95,0.42195767195767075,10.009541553748875
274,95,3922,11.112776648599777,0.04254177958443961
275,3922,131,6.461297425474299,1.4737587108014054
276,3922,3922A,4.322408536585385,11.73755047967478
277,95,96,0.0,5.800925925925924
278,96,3924,8.127004290876243,6.749745934959321
279,96,97,0.0,9.51785714285711
280,97,3924,8.127004290876243,2.768111207897789
281,97,98,0.009259259259238206,7.5
282,98,3930,10.769675925925924,4.367559523809518
283,98,547,0.43121693121690896,14.905753968253975
284,510,99,0.5833333333333428,20.48737373737373
285,99,4204,18.964691558441558,9.883645910322741
286,99,133,29.49867724867724,2.8469516594516335
287,4204,100,18.964691558441558,0.620027584204422
288,4204,101,18.96601430976432,11.534734320557448
289,133,4208,19.813205736224006,18.85275116144021
290,133,4208A,30.722327441077425,0.9342983405483665
291,4208,135,10.950021777003542,31.218677409988345
292,135,158,33.170003607503645,0.014550264550223346
293,158,4202,8.097091340231572,12.441932023486913
294,4202,102,18.99613256549233,7.224734643179772
295,4202,103,18.99613256549233,4.3863764679313135
296,158,528,23.006898250800674,0.3024503161698249
297,528,104,4.086325654923229,1.6635614272809107
298,158,4201,1.8940446127946302,18.88625841750843
299,4201,105,28.987268518518533,0.302925084175115
300,135,4207,0.2121818555008872,19.213618637110073
301,135,552,9.406431475029024,0.6534391534391375
302,552,167,0.10811878952119969,5.861111111111086
303,167,3202,14.7976230803975,15.79355803974704
304,552,509,0.2602351916376051,72.75231481481478
305,552,152,30.16598915989158,0.004629629629619103
306,152,3204,0.05682588075882222,21.722306910569102
307,152,3201,1.8071338383838338,18.692234848484873
308,152,153,30.349537037037067,0.005952380952351177
309,153,3203,2.96338640469736,19.095637340301977
310,153,553,18.833333333333314,0.0013227513227320742
311,553,257,0.2407407407407618,19.668981481481467
312,257,3515,15.629206187895193,9.871019647696471
313,3515,3515A,18.178861788617894,0.0
314,3515,3515B,18.071138211382106,11.191056910569102
315,3515,3515C,2.331300813008113,12.768292682926813
316,257,3516,23.714289747064186,3.1027269647696585
317,3516,3516A,14.245934959349597,6.758130081300806
318,3516,3516B,5.420731707317032,13.337398373983717
319,257,234,0.05555555555559977,31.923611111111143
320,234,3517,21.61768857271909,8.016175474254794
321,3517,3517A,7.1402439024390105,19.418699186991887
322,3517,3517B,10.776422764227675,19.64024390243901
323,234,3518,14.467677280939427,0.19300474254748679
324,3518,3518A,3.3292682926829116,15.071138211382106
325,3518,3518B,13.670731707317088,1.9085365853658232
326,3518,3518C,15.024390243902474,14.579268292682912
327,234,549,0.33101851851853326,20.842310298102973
328,553,154,20.083333333333314,0.0
329,154,3211,16.200021043771073,18.45000564588983
330,154,155,32.06613756613757,0.0
331,155,3211,15.866116522366497,18.45000564588983
332,155,551,19.5171957671958,0.0
333,551,156,16.57804232804233,0.0
334,551,134,0.25,6.417989417989418
335,134,3908,11.035540876242067,2.298671602787408
336,134,87,0.0,13.345238095238074
337,87,3915,20.359784327009947,1.6248185249709763
338,87,88,0.0,3.320105820105823
339,88,3910,11.035540876242067,3.0048836946702977
340,88,89,0.0,9.527777777777771
341,89,3912,11.035540876242067,1.9493281391147548
342,89,90,0.0,8.890211640211646
343,90,3914,11.035540876242067,0.6972633565621322
344,90,91,0.0,10.165343915343954
345,91,3917,20.359784327009947,7.441875564588997
346,91,92,0.0,1.251322751322732
347,92,3916,11.035540876242067,0.8476698606272066
348,92,93,0.0,12.443121693121668
349,93,3918,11.035540876242067,1.9737183830171716
350,93,94,0.0,4.890211640211646
351,94,3920,11.196109981933148,2.818996806039479
352,94,548,0.42195767195767075,2.1835801393728502
353,551,160,0.24470899470895802,23.638888888888886
354,160,2942,11.040831881533109,9.609614950316143
355,2942,136,9.4459406052394,9.692948283649486
356,160,233,0.0,5.449074074074076
357,233,2940,11.040831881533109,0.9209857723577386
358,233,231,0.0,19.90972222222223
359,231,2943,17.367920274170274,6.202320460704641
360,231,230,0.0,2.9930555555555713
361,230,2938,11.040831881533109,9.235857046070464
362,230,229,0.0,4.416666666666657
363,229,2936,11.040831881533109,1.3678014905149212
364,229,228,0.0,9.841269841269849
365,228,2934,11.040831881533109,1.9269381533101182
366,228,227,0.0,3.992063492063494
367,227,2943,17.367920274170274,15.04073509485093
368,227,225,0.0,5.930555555555543
369,225,2932,11.040831881533109,2.008384146341484
370,225,224,0.0,3.7440476190476204
371,224,2939,13.539637445887422,0.5730618466898818
372,224,223,0.0,8.582341269841265
373,223,157,17.153439153439194,1.8587962962963047
374,223,2937,13.794687950937941,1.8139397018969987
375,223,222,0.0,6.3402777777777715
376,222,2922,11.040831881533109,3.274644308943124
377,222,221,0.0,7.160714285714306
378,221,2933,14.27953643578644,0.8108667247386734
379,2933,2933A,24.59217171717171,2.1807711258930738
380,2933,2933B,6.482323232323267,7.908536585365852
381,221,220,0.0,4.723544973544961
382,220,2920,11.040831881533109,4.311116757000917
383,220,219,0.0,15.027777777777771
384,219,2918,11.040831881533109,4.4459406052394
385,219,218,0.0,5.582010582010582
386,218,2927,19.04468795093794,0.4063951800231962
387,2927,2927A,10.901515151515127,7.567073170731703
388,218,217,0.0,9.408730158730165
389,217,2916,11.040831881533109,4.1848746612466385
390,217,216,0.005291005291041984,14.81481481481481
391,216,2914,11.035540876242067,4.624124887082232
392,216,215,0.0,2.597883597883609
393,215,2520,35.778483514001834,3.455103077816517
394,2520,2911,5.245934959349597,24.754065040650403
395,2520,2412,27.357723577235788,25.491869918699194
396,215,214,0.009259259259238206,12.25
397,214,2912,11.026281616982828,4.713233159117323
398,214,213,0.0,12.26190476190476
399,213,2911,30.541807813911475,3.6972633565621607
400,213,212,0.0,2.839285714285708
401,212,2910,11.026281616982828,0.937245934959364
402,212,507,0.01455026455028019,12.31018518518519
403,507,2908,11.040831881533109,2.3932644534778404
404,553,235,0.1828703703703809,47.82010582010582
405,235,2525,16.935290404040416,9.626758658008669
406,2525,151,12.04850589225589,5.782512626262644
407,151,2102,20.275434733513976,103.28463753387535
408,2102,138,19.423582881662128,33.4489893857272
409,138,2102A,3.4786405723905887,16.86870483288169
410,2102A,137,3.867920274170274,11.3710196476965
411,235,2545,20.135416666666686,7.121769744483174
412,2545,144,17.94097222222223,27.71553184281842
413,2943,144,16.649936868686837,27.457401761517588
414,144,2540,1.6101641414141454,4.955199864498667
415,235,256,0.0009920634920490556,24.345238095238102
416,256,2545,20.136408730158735,17.223468350754928
417,256,2525,16.934298340548366,14.718479437229433
418,256,255,0.0,7.988095238095241
419,255,2543,16.72226731601728,1.1201001742160202
420,255,254,0.0,8.57804232804233
421,254,2541,14.9773178210678,2.202207542908752
422,254,253,0.0,6.583333333333314
423,253,2530,12.059388528138527,7.717472860791872
424,253,252,0.0,6.683862433862458
425,252,2523,16.934298340548366,9.046762265512257
426,2523,2523A,8.659090909090935,14.656565656565647
427,2523,2523B,4.431818181818187,14.49747474747474
428,2523,2523C,10.260101010100982,0.0
