pointnum,type,x_position,y_position
250,entrance,426.36574074074076,71.27314814814815
252,entrance,368.5892857142857,162.67261904761904
253,entrance,368.5892857142857,169.3564814814815
254,entrance,368.5892857142857,175.9398148148148
255,entrance,368.5892857142857,184.51785714285714
256,entrance,368.5892857142857,192.50595238095238
257,entrance,368.5324074074074,284.34027777777777
259,entrance,28.006944444444443,415.1153455284553
357,entrance,441.8602642276423,412.1990740740741
358,entrance,178.60119047619048,383.9212398373984
360,entrance,170.02314814814815,383.9212398373984
361,entrance,160.08928571428572,383.6875
362,entrance,153.34027777777777,383.6875
363,entrance,145.4398148148148,383.6875
364,entrance,118.60648148148148,383.7627032520325
365,entrance,101.27314814814815,383.7627032520325
366,entrance,107.33333333333333,383.7627032520325
368,entrance,109.0,383.7627032520325
369,entrance,220.1723484848485,395.5138888888889
372,entrance,198.78240740740742,414.922256097561
374,entrance,181.03240740740742,414.922256097561
375,entrance,178.60119047619048,414.922256097561
377,entrance,152.18055555555554,414.922256097561
378,entrance,220.1723484848485,401.68055555555554
379,entrance,153.6898148148148,414.922256097561
380,entrance,196.6712962962963,383.9212398373984
382,entrance,441.8602642276423,415.3392857142857
383,entrance,441.8602642276423,392.3592479674797
384,entrance,441.8602642276423,401.51785714285717
389,entrance,365.4212962962963,415.35290404040404
390,entrance,359.85648148148147,415.35290404040404
392,entrance,363.0079022988506,411.7559523809524
393,entrance,363.0079022988506,403.337962962963
394,entrance,363.0079022988506,392.17261904761904
403,entrance,159.50694444444446,414.922256097561
410,entrance,29.603150406504064,331.26785714285717
411,entrance,29.603150406504064,352.00694444444446
412,entrance,29.603150406504064,347.3333333333333
413,entrance,29.603150406504064,353.50694444444446
414,entrance,69.69867886178862,355.5324074074074
415,entrance,29.603150406504064,390.18981481481484
416,entrance,29.603150406504064,382.5059523809524
417,entrance,29.603150406504064,392.4490740740741
418,entrance,29.603150406504064,384.86574074074076
420,entrance,29.603150406504064,404.59027777777777
421,entrance,29.603150406504064,401.0833333333333
422,entrance,55.4212962962963,415.1153455284553
423,entrance,58.673611111111114,415.1153455284553
424,entrance,48.84722222222222,415.1153455284553
425,entrance,29.603150406504064,372.51785714285717
426,entrance,138.8564814814815,414.922256097561
428,entrance,69.69867886178862,365.34722222222223
437,entrance,151.34705284552845,468.86574074074076
438,entrance,69.69867886178862,335.587962962963
439,entrance,130.9283536585366,469.5138888888889
441,entrance,91.02388211382114,430.25694444444446
442,entrance,91.02388211382114,448.27314814814815
443,entrance,90.25462962962963,415.1742886178862
444,entrance,69.94867886178862,401.59027777777777
446,entrance,62.583333333333336,376.2728658536585
447,entrance,69.69867886178862,367.10648148148147
448,entrance,69.69867886178862,321.10648148148147
449,entrance,130.9283536585366,458.34027777777777
467,entrance,34.18452380952381,329.59027777777777
499,entrance,46.673611111111114,415.1153455284553
500,entrance,29.50595238095238,415.25
501,entrance,130.9283536585366,452.1011904761905
502,entrance,130.9283536585366,464.0950203252033
503,entrance,138.75,383.6875
504,corner,228.25595238095238,162.78240740740742
507,corner,440.6845238095238,70.85648148148148
508,corner,368.9395325203252,70.85648148148148
509,corner,289.6845238095238,337.4236111111111
510,corner,220.33928571428572,337.4236111111111
512,corner,13.519817073170731,415.43055555555554
